change,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
1,0.720882234079512,0.873915206398569,0.0631206991936618,0.935667402014193,0.426962305059301,0.596593002190889,-0.358328352344195,1.09200986616835,0.563351509783139,0.433533082117337,0.684402837172021,0.393597101615362,0.422408673622428
2,0.669939443889537,0.808806095588336,0.0736266830775247,0.8672267323987,0.39965721333375,0.573198287372844,-0.318573241646818,1.00647411805145,0.520150291038422,0.400748261531862,0.638711142800521,0.372588537641585,0.40594389269824
3,0.575422364244185,0.683783788612139,0.100860168676379,0.733679068069607,0.35375863379125,0.528814432727098,-0.22334635525369,0.834855322818313,0.445325107406703,0.346663084154278,0.553345190946192,0.340199393813028,0.37615642257534
4,0.453228308026465,0.515010595448264,0.16893153020398,0.545877227480483,0.316359576397477,0.455099353359276,-0.0279277409808942,0.591394603567917,0.36656821225712,0.304657384053377,0.443043678693151,0.31896374366998,0.343505137038752
5,0.334931858302032,0.334931858302032,0.334931858302031,0.334931858302032,0.334931858302032,0.334931858302032,0.334931858302032,0.334931858302031,0.33493185830203,0.334931858302033,0.334931858302031,0.334931858302031,0.334931858302032
6,0.25263766907959,0.220924123335207,0.645357263553359,0.153063686684485,0.448393775668254,0.188303135278397,0.876031441510999,0.122493495573659,0.396558516042214,0.469178780608027,0.258341354715366,0.390612431225257,0.380511107985017
7,0.208495713223387,0.252442943569764,1.07345505741192,0.0598273466941315,0.652633637252989,0.110806324890124,1.52666722284376,-0.053390971536553,0.557205562072667,0.664829892004322,0.251089099185026,0.508180829374099,0.486346486580473
8,0.208061731582789,0.508700517452526,1.6073015355974,0.119288216117339,0.907349110961999,0.152399444920516,2.26174031197209,-0.172829507789276,0.75960639956409,0.908437280507568,0.279329904867138,0.747468042736792,0.60869896575859
9,0.230512762223387,0.930895589606587,2.23574036403026,0.350896269747133,1.18306875912389,0.33215691588505,3.16058790091384,-0.214876049367091,0.957846709260173,1.20172125460708,0.237890672539888,1.13770319027434,0.772602269040087
10,0.273976918371569,1.44607724317269,3.02964920324108,0.656165356107655,1.39900125579921,0.648170413284897,4.14634268428687,-0.139894230606227,1.24881405707238,1.56665229285973,0.337635692495838,1.57891865469372,1.06981340644567
11,0.339925432304059,2.06362075928045,3.97755075048659,1.08287386160026,1.59669142890606,1.19092747550263,4.97711574885599,0.236718928086624,1.76389116020982,1.93654901065003,0.590569749756128,2.09540406446988,1.39885722389277
12,0.382501321408609,2.54138142854544,4.99408424638673,1.66388541480282,1.83382512945863,2.01530764317847,5.84164774848405,0.936383410575289,2.59042127295309,2.30172306685943,0.944934690027263,2.64610070742751,1.8677133540824
13,0.408660669849559,2.77181932730098,6.06673808891943,2.1265585337405,2.08505243688997,2.90212655616377,6.88127163007692,1.73562771023308,3.80780290603393,2.76916742134416,1.28066741114544,3.01924948132373,2.53452029725137
14,0.503992245771475,2.98696877419313,7.15672212772734,2.59097862473424,2.23795163227293,3.59715806739464,8.0287963909419,2.4409162467436,5.17680780509391,3.315125472708,1.71549882269583,3.19092024347,3.09613753137526
15,0.695418557397086,3.18853376706048,8.03005316146678,3.1315711876378,2.19883513462271,4.02560890817326,9.12329785857242,3.02344422576823,6.54378757250549,3.82911867089195,2.23636279061999,3.2754934328086,3.48490904982846
16,0.993193523990778,3.37623515351424,8.63884566957464,3.69073026415965,2.02601928567934,4.69158933683711,9.94535594417501,3.63167455225322,7.75055276965008,4.33329015681363,2.79933029113006,3.42690881581,3.71471268971828
17,1.26352071504747,3.58877872972055,9.38549150356029,4.13705229643409,1.8226078867627,5.44568714464435,10.5574017615078,4.24284102131437,8.59551068393781,4.88005967071355,3.31181727896036,3.64308519128951,3.99431169110986
18,1.48492706547668,3.7551479303212,10.0853320169752,4.49972262332748,1.50978842515194,6.08731528988198,10.9539292023637,4.857468062141,9.34692791708179,5.39647414670037,3.8445359795611,3.87692564984845,4.16396375559028
19,1.596899017049,3.81869797640318,10.8637113414782,4.70949461613741,1.22437793215239,6.59501222287173,10.9545308431236,5.38529050661253,10.0273785606329,5.92345880486199,4.35129362789857,4.09472929912632,4.33829291840913
20,1.71682270696077,3.78646889489917,11.7443688490812,4.6574426732333,1.095400239676,7.0991943421717,11.0429898602917,5.84722015758559,10.8144440241693,6.44893511050336,5.01881674072034,4.18680208649708,4.43103292696767
21,1.8044878182819,3.77293971627671,12.6719913347924,4.81685678610111,0.944854562881449,7.69057581127739,11.1576542450038,6.36254215017413,11.5587527603819,6.86800227851486,5.5707102962373,4.25763765417691,4.33739944032232
